period,currency,usd_rate_avg
2025-Q4,UYU,39.578
2025-Q4,CRC,499.167075
2025-Q4,DOP,63.7683
2025-Q4,PEN,3.39347
2025-Q4,MXN,18.312296
2025-Q4,CLP,935.277894
2026-Q1,COP,3695.905
2026-Q1,ARS,1444.868421
2026-Q1,GTQ,7.661908
2026-Q1,UYU,39.137769
2026-Q1,CRC,482.84429
2026-Q1,DOP,62.124333
2026-Q1,PEN,3.356863
2026-Q1,MXN,17.553225
2026-Q1,CLP,885.292965
