country,raw_table,source_entity_code,source_entity_name,row_count,canonical_entity_name,notes
AR,ar_raw_solvencia,,DULCE,7,La Dulce,
AR,ar_raw_solvencia,,EDIFICAR,8,Edificar,
AR,ar_raw_balance,80,EDIFICAR SEGUROS SOCIEDAD ANÓNIMA,13735,Edificar,
AR,ar_raw_balance,716,EL PROGRESO SEGUROS SOCIEDAD ANONIMA,16438,El Progreso,
AR,ar_raw_balance,6,EL SURCO COMPAÑÍA DE SEGUROS SOCIEDAD ANONIMA,26021,El Surco Argentina,
AR,ar_raw_solvencia,,EQUIDAD,2,La Equidad Argentina,
AR,ar_raw_solvencia,,EQUITATIVA DEL PLATA,8,La Equitativa del Plata,
AR,ar_raw_solvencia,,ESCUDO,4,Escudo,
AR,ar_raw_balance,746,ESCUDO SEGUROS S.A.,17132,Escudo,
AR,ar_raw_solvencia,,ESENCIA,7,Esencia,
AR,ar_raw_balance,933,ESENCIA SEGUROS S.A.,51648,Esencia,
AR,ar_raw_solvencia,,ESTRELLA RETIRO,8,La Estrella Seguros de Retiro,
AR,ar_raw_solvencia,,EUROAMÉRICA,7,Euroamérica,
AR,ar_raw_solvencia,,EVOLUCIÓN,8,Evolución,
AR,ar_raw_balance,236,EVOLUCIÓN SEGUROS S.A.,30787,Evolución,
AR,ar_raw_solvencia,,EXPERTA,2,Experta,
AR,ar_raw_solvencia,,EXPERTA ART,8,Experta ART,
AR,ar_raw_solvencia,,EXPERTA PATRIMONIALES,3,Experta Seguros de Retiro,
AR,ar_raw_solvencia,,EXPERTA SAU,3,Experta,
AR,ar_raw_balance,433,EXPERTA SEGUROS DE RETIRO S.A.,13101,Experta Seguros de Retiro,
AR,ar_raw_balance,433,EXPERTA SEGUROS PATRIMONIALES S.A.,8465,Experta Seguros de Retiro,
AR,ar_raw_balance,880,EXPERTA SEGUROS SOCIEDAD ANÓNIMA UNIPERSONAL,43195,Experta,
AR,ar_raw_balance,616,Experta Aseguradora de Riesgos del Trabajo SA,23963,Experta ART,
AR,ar_raw_solvencia,,FED. PATRONAL,8,Federación Patronal,
AR,ar_raw_solvencia,,FED. PATRONAL RETIRO,8,Federación Patronal Retiro,
AR,ar_raw_balance,425,FEDERACION PATRONAL SEGUROS DE RETIRO S.A.,4190,Federación Patronal Retiro,
AR,ar_raw_balance,726,FEDERACION PATRONAL SEGUROS S.A.,41776,Federación Patronal,
AR,ar_raw_balance,726,FEDERACIÓN PATRONAL SEGUROS S.A.U.,15130,Federación Patronal,
AR,ar_raw_solvencia,,FEDERADA,7,Federada,
AR,ar_raw_balance,874,FEDERADA COMPAÑÍA DE SEGUROS S.A.,12605,Federada,
AR,ar_raw_balance,253,FIANZAS Y CREDITO S. A. COMPAÑIA DE SEGUROS,7204,Fianzas y Crédito,
AR,ar_raw_solvencia,,FIANZAS Y CRÉDITO,8,Fianzas y Crédito,
AR,ar_raw_solvencia,,FINISTERRE,6,Finisterre,
AR,ar_raw_solvencia,,FOMS,2,FOMS,
AR,ar_raw_balance,867,FOMS CIA. ARGENTINA DE SEGUROS S.A.,3831,FOMS,
AR,ar_raw_solvencia,,GALENO,8,Galeno,
AR,ar_raw_solvencia,,GALENO ART,7,Galeno,
AR,ar_raw_balance,619,GALENO ASEGURADORA DE RIESGOS DEL TRABAJO S.A.,9417,Galeno,
AR,ar_raw_balance,878,GALENO SEGUROS S.A.,39580,Galeno,
AR,ar_raw_solvencia,,GALICIA,6,Galicia Seguros,
AR,ar_raw_solvencia,,GALICIA RETIRO,8,Galicia Seguros,
AR,ar_raw_balance,426,GALICIA RETIRO COMPAÑIA DE SEGUROS S.A.,11483,Galicia Seguros,
